hi
psutil.AccessDenied (pid=0, name='kernel_task')
psutil.AccessDenied (pid=1, name='launchd')
psutil.AccessDenied (pid=38, name='syslogd')
psutil.AccessDenied (pid=39, name='UserEventAgent')
psutil.AccessDenied (pid=41, name='RTProtectionDaem')
psutil.AccessDenied (pid=43, name='uninstalld')
psutil.AccessDenied (pid=44, name='kextd')
psutil.AccessDenied (pid=45, name='fseventsd')
psutil.AccessDenied (pid=47, name='mediaremoted')
psutil.AccessDenied (pid=50, name='appleeventsd')
psutil.AccessDenied (pid=51, name='systemstats')
psutil.AccessDenied (pid=53, name='configd')
psutil.AccessDenied (pid=54, name='powerd')
psutil.AccessDenied (pid=57, name='logd')
psutil.AccessDenied (pid=58, name='keybagd')
psutil.AccessDenied (pid=64, name='mds')
psutil.AccessDenied (pid=65, name='iconservicesd')
psutil.AccessDenied (pid=66, name='diskarbitrationd')
psutil.AccessDenied (pid=69, name='backupd-helper')
psutil.AccessDenied (pid=70, name='coreduetd')
psutil.AccessDenied (pid=74, name='opendirectoryd')
psutil.AccessDenied (pid=75, name='apsd')
psutil.AccessDenied (pid=76, name='nbstated')
psutil.AccessDenied (pid=77, name='launchservicesd')
psutil.AccessDenied (pid=78, name='timed')
psutil.AccessDenied (pid=79, name='securityd')
psutil.AccessDenied (pid=80, name='usbmuxd')
psutil.AccessDenied (pid=82, name='locationd')
psutil.AccessDenied (pid=84, name='autofsd')
psutil.AccessDenied (pid=85, name='displaypolicyd')
psutil.AccessDenied (pid=86, name='dasd')
psutil.AccessDenied (pid=87, name='kdc')
psutil.AccessDenied (pid=89, name='PerfPowerService')
psutil.AccessDenied (pid=91, name='mysqld')
psutil.AccessDenied (pid=93, name='logind')
psutil.AccessDenied (pid=94, name='revisiond')
psutil.AccessDenied (pid=95, name='KernelEventAgent')
psutil.AccessDenied (pid=97, name='bluetoothd')
psutil.AccessDenied (pid=98, name='hidd')
psutil.AccessDenied (pid=99, name='sandboxd')
psutil.AccessDenied (pid=100, name='corebrightnessd')
psutil.AccessDenied (pid=101, name='AirPlayXPCHelper')
psutil.AccessDenied (pid=102, name='amfid')
psutil.AccessDenied (pid=103, name='notifyd')
psutil.AccessDenied (pid=104, name='distnoted')
psutil.AccessDenied (pid=105, name='cfprefsd')
psutil.AccessDenied (pid=108, name='authd')
psutil.AccessDenied (pid=109, name='coreservicesd')
psutil.AccessDenied (pid=114, name='aslmanager')
psutil.AccessDenied (pid=119, name='contextstored')
psutil.AccessDenied (pid=123, name='com.apple.ctkpcs')
psutil.AccessDenied (pid=124, name='trustd')
psutil.AccessDenied (pid=127, name='ctkd')
psutil.AccessDenied (pid=128, name='airportd')
psutil.AccessDenied (pid=129, name='nehelper')
psutil.AccessDenied (pid=130, name='coreaudiod')
psutil.AccessDenied (pid=133, name='WindowServer')
psutil.AccessDenied (pid=136, name='com.apple.audio.')
psutil.AccessDenied (pid=145, name='symptomsd')
psutil.AccessDenied (pid=147, name='syspolicyd')
psutil.AccessDenied (pid=153, name='mobileassetd')
psutil.AccessDenied (pid=164, name='nsurlsessiond')
psutil.AccessDenied (pid=171, name='lsd')
psutil.AccessDenied (pid=173, name='mDNSResponder')
psutil.AccessDenied (pid=179, name='mDNSResponderHel')
psutil.AccessDenied (pid=185, name='awdd')
psutil.AccessDenied (pid=186, name='apfsd')
psutil.AccessDenied (pid=187, name='usbd')
psutil.AccessDenied (pid=188, name='tzd')
psutil.AccessDenied (pid=189, name='socketfilterfw')
psutil.AccessDenied (pid=190, name='softwareupdate_d')
psutil.AccessDenied (pid=191, name='com.philandro.an')
psutil.AccessDenied (pid=193, name='nsurlstoraged')
psutil.AccessDenied (pid=195, name='analyticsd')
psutil.AccessDenied (pid=197, name='suhelperd')
psutil.AccessDenied (pid=198, name='watchdogd')
psutil.AccessDenied (pid=199, name='com.apple.geod')
psutil.AccessDenied (pid=200, name='secinitd')
psutil.AccessDenied (pid=201, name='cfprefsd')
psutil.AccessDenied (pid=202, name='trustd')
psutil.AccessDenied (pid=203, name='mds_stores')
psutil.AccessDenied (pid=204, name='SettingsDaemon')
psutil.AccessDenied (pid=206, name='thermald')
psutil.AccessDenied (pid=208, name='secinitd')
psutil.AccessDenied (pid=209, name='CVMServer')
psutil.AccessDenied (pid=210, name='colorsync.displa')
psutil.AccessDenied (pid=211, name='tccd')
