--------------------------------------------------------------------------------
Process Log Fri Apr 26 19:28:06 2019
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05078125} 
{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'vms': 0.18359375} 
{'name': 'svchost.exe', 'username': None, 'pid': 76, 'vms': 17.69921875} 
{'name': 'smss.exe', 'username': None, 'pid': 436, 'vms': 0.47265625} 
{'name': 'sppsvc.exe', 'username': None, 'pid': 596, 'vms': 5.16015625} 
{'name': 'cmd.exe', 'username': 'NTNET\\pratibal', 'pid': 608, 'vms': 4.76953125} 
{'name': 'svchost.exe', 'username': None, 'pid': 620, 'vms': 1.4609375} 
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 668, 'vms': 3.03515625} 
{'name': 'csrss.exe', 'username': None, 'pid': 680, 'vms': 1.78125} 
{'name': 'wininit.exe', 'username': None, 'pid': 836, 'vms': 1.703125} 
{'name': 'csrss.exe', 'username': None, 'pid': 848, 'vms': 3.30078125} 
{'name': 'services.exe', 'username': None, 'pid': 924, 'vms': 8.46875} 
{'name': 'lsass.exe', 'username': None, 'pid': 932, 'vms': 14.9921875} 
{'name': 'svchost.exe', 'username': None, 'pid': 1080, 'vms': 7.16015625} 
{'name': 'svchost.exe', 'username': None, 'pid': 1112, 'vms': 16.86328125} 
{'name': 'winlogon.exe', 'username': None, 'pid': 1128, 'vms': 2.8046875} 
{'name': 'svchost.exe', 'username': None, 'pid': 1156, 'vms': 11.1328125} 
{'name': 'svchost.exe', 'username': None, 'pid': 1228, 'vms': 5.265625} 
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 1264, 'vms': 9.31640625} 
{'name': 'chrome.exe', 'username': 'NTNET\\pratibal', 'pid': 1316, 'vms': 155.359375} 
{'name': 'svchost.exe', 'username': None, 'pid': 1368, 'vms': 26.58984375} 
{'name': 'svchost.exe', 'username': None, 'pid': 1424, 'vms': 2.484375} 
{'name': 'svchost.exe', 'username': None, 'pid': 1444, 'vms': 5.19140625} 
{'name': 'svchost.exe', 'username': None, 'pid': 1468, 'vms': 3.1328125} 
{'name': 'svchost.exe', 'username': None, 'pid': 1472, 'vms': 6.94921875} 
{'name': 'svchost.exe', 'username': None, 'pid': 1480, 'vms': 2.921875} 
{'name': 'svchost.exe', 'username': None, 'pid': 1508, 'vms': 2.265625} 
{'name': 'dwm.exe', 'username': None, 'pid': 1552, 'vms': 150.1875} 
{'name': 'svchost.exe', 'username': None, 'pid': 1588, 'vms': 2.5546875} 
{'name': 'WmiApSrv.exe', 'username': None, 'pid': 1624, 'vms': 2.21875} 
{'name': 'conhost.exe', 'username': 'NTNET\\pratibal', 'pid': 1680, 'vms': 11.17578125} 
{'name': 'svchost.exe', 'username': None, 'pid': 1692, 'vms': 2.5546875} 
{'name': 'bash.exe', 'username': 'NTNET\\pratibal', 'pid': 1724, 'vms': 2.48828125} 
{'name': 'WUDFHost.exe', 'username': None, 'pid': 1760, 'vms': 4.44140625} 
{'name': 'svchost.exe', 'username': None, 'pid': 1828, 'vms': 3.77734375} 
{'name': 'Apoint.exe', 'username': 'NTNET\\pratibal', 'pid': 1860, 'vms': 3.76953125} 
{'name': 'RuntimeBroker.exe', 'username': 'NTNET\\pratibal', 'pid': 1960, 'vms': 12.69921875} 
{'name': 'svchost.exe', 'username': None, 'pid': 1980, 'vms': 2.17578125} 
{'name': 'svchost.exe', 'username': None, 'pid': 2016, 'vms': 2.734375} 
{'name': 'svchost.exe', 'username': None, 'pid': 2064, 'vms': 2.22265625} 
{'name': 'svchost.exe', 'username': None, 'pid': 2084, 'vms': 3.09765625} 
{'name': 'LockApp.exe', 'username': 'NTNET\\pratibal', 'pid': 2140, 'vms': 19.25390625} 
{'name': 'svchost.exe', 'username': None, 'pid': 2168, 'vms': 1.82421875} 
{'name': 'svchost.exe', 'username': None, 'pid': 2208, 'vms': 2.421875} 
{'name': 'svchost.exe', 'username': None, 'pid': 2272, 'vms': 3.1953125} 
{'name': 'svchost.exe', 'username': None, 'pid': 2356, 'vms': 2.7421875} 
{'name': 'svchost.exe', 'username': None, 'pid': 2388, 'vms': 1.8671875} 
{'name': 'svchost.exe', 'username': None, 'pid': 2396, 'vms': 2.92578125} 
{'name': 'svchost.exe', 'username': None, 'pid': 2536, 'vms': 2.296875} 
{'name': 'RuntimeBroker.exe', 'username': 'NTNET\\pratibal', 'pid': 2584, 'vms': 2.84765625} 
{'name': 'igfxCUIService.exe', 'username': None, 'pid': 2600, 'vms': 2.24609375} 
{'name': 'Memory Compression', 'username': None, 'pid': 2628, 'vms': 2.8828125} 
{'name': 'svchost.exe', 'username': None, 'pid': 2772, 'vms': 5.51953125} 
{'name': 'svchost.exe', 'username': None, 'pid': 2852, 'vms': 2.87890625} 
{'name': 'svchost.exe', 'username': None, 'pid': 2876, 'vms': 2.9453125} 
{'name': 'svchost.exe', 'username': None, 'pid': 2924, 'vms': 2.54296875} 
{'name': 'svchost.exe', 'username': None, 'pid': 2932, 'vms': 2.796875} 
{'name': 'svchost.exe', 'username': None, 'pid': 3032, 'vms': 4.6484375} 
{'name': 'svchost.exe', 'username': None, 'pid': 3056, 'vms': 2.87109375} 
{'name': 'svchost.exe', 'username': None, 'pid': 3116, 'vms': 4.59375} 
{'name': 'svchost.exe', 'username': None, 'pid': 3132, 'vms': 2.93359375} 
{'name': 'sihost.exe', 'username': 'NTNET\\pratibal', 'pid': 3176, 'vms': 8.73828125} 
{'name': 'svchost.exe', 'username': None, 'pid': 3280, 'vms': 4.31640625} 
{'name': 'svchost.exe', 'username': None, 'pid': 3296, 'vms': 6.0625} 
{'name': 'svchost.exe', 'username': None, 'pid': 3360, 'vms': 4.78515625} 
{'name': 'RtkAudioService64.exe', 'username': None, 'pid': 3364, 'vms': 2.3984375} 
{'name': 'svchost.exe', 'username': None, 'pid': 3560, 'vms': 3.1328125} 
